Time_offload,Time_process,Time_reply,Time_e2e
-6831.57,3.86,6847.90,20.19
-6837.11,3.84,6849.20,15.93
-6839.62,3.84,6850.50,14.72
-6836.39,3.83,6847.66,15.10
-6839.65,3.43,6851.46,15.24
-6839.94,3.63,6846.69,10.38
-6839.16,3.73,6851.65,16.23
-6839.20,3.81,6846.78,11.39
-6839.54,3.75,6846.69,10.91
-6839.27,3.74,6851.59,16.06
-6837.19,3.77,6851.96,18.54
-6837.72,3.78,6853.24,19.31
-6837.47,3.83,6852.87,19.23
-6780.99,3.83,6846.73,69.58
-6789.11,0.65,6846.48,58.03
-6798.43,0.56,6846.01,48.14
-6807.25,0.56,6846.17,39.48
-6815.86,0.57,6848.65,33.36
-6839.69,2.77,6849.65,12.72
-6838.49,3.25,6850.67,15.43
-6838.68,3.38,6846.79,11.49
-6825.08,3.86,6847.90,26.68
-6832.05,3.72,6846.82,18.49
-6839.80,2.74,6850.94,13.88
-6815.00,3.83,6848.65,37.48
-6818.42,3.84,6849.02,34.44
-6824.81,3.21,6846.59,24.98
-6830.83,2.20,6846.61,17.98
-6838.75,1.59,6846.26,9.10
-6839.93,2.41,6846.69,9.17
-6840.32,2.97,6846.65,9.30
-6833.32,3.85,6846.93,17.47
-6839.47,3.14,6846.59,10.26
-6839.76,3.61,6850.75,14.60
-6840.13,3.66,6850.63,14.16
-6839.49,3.60,6850.45,14.57
-6840.12,3.53,6850.22,13.64
-6839.90,3.51,6851.36,14.97
-6839.06,3.73,6852.82,17.49
-6838.11,3.82,6852.04,17.74
-6815.16,3.86,6847.58,36.28
-6822.46,3.72,6849.74,30.99
-6831.68,3.22,6846.69,18.23
-6838.22,2.67,6852.49,16.94
-6838.36,3.39,6854.00,19.03
-6836.30,3.84,6851.28,18.82
-6838.23,3.80,6851.24,16.81
-6838.70,3.84,6849.48,14.61
-6840.71,3.64,6850.87,13.80
-6840.19,3.68,6852.47,15.95
-6838.39,3.77,6851.08,16.45
-6839.28,3.73,6850.40,14.85
-6840.51,3.64,6846.89,10.03
-6838.69,3.82,6853.63,18.76
-6836.80,3.83,6852.72,19.75
-6837.57,3.85,6851.42,17.70
-6839.58,3.84,6852.25,16.51
-6837.97,3.85,6852.14,18.02
-6837.47,3.84,6853.53,19.90
-6837.09,3.82,6853.30,20.03
-6837.11,3.84,6854.32,21.06
-6836.01,3.81,6854.03,21.83
-6834.46,3.83,6851.80,21.17
-6836.05,3.84,6852.45,20.24
-6819.80,3.83,6848.66,32.69
-6829.33,3.73,6847.24,21.64
-6838.77,3.26,6852.65,17.14
-6837.61,3.84,6850.36,16.59
-6839.26,3.83,6850.45,15.01
-6839.16,3.74,6851.54,16.12
-6835.91,3.84,6849.03,16.96
-6838.85,3.70,6851.95,16.80
-6818.84,3.81,6848.05,33.03
-6826.69,3.73,6846.78,23.81
-6835.00,3.19,6853.47,21.65
-6832.54,3.86,6849.08,20.40
-6836.98,3.81,6852.83,19.66
-6836.69,3.84,6852.99,20.14
-6833.38,3.83,6848.04,18.49
-6839.26,3.72,6850.35,14.81
-6840.03,3.58,6851.74,15.29
-6838.69,3.74,6853.05,18.10
-6837.72,3.81,6852.37,18.46
-6837.40,3.83,6852.48,18.91
-6835.94,3.84,6851.85,19.75
-6837.51,3.83,6852.15,18.47
-6838.07,3.78,6851.42,17.13
-6837.66,3.82,6849.00,15.17
-6840.98,3.62,6846.85,9.48
-6840.74,3.44,6846.95,9.65
-6839.28,3.71,6852.87,17.30
-6837.98,3.81,6850.83,16.66
-6839.79,3.74,6849.32,13.26
-6841.40,3.42,6850.88,12.90
-6840.20,3.66,6850.66,14.12
-6840.04,3.57,6851.37,14.90
-6840.00,3.67,6853.07,16.73
-6838.40,3.84,6853.76,19.20
-6837.45,3.82,6854.11,20.48
-6836.28,3.82,6853.45,20.99
-6836.87,3.81,6853.51,20.45
-6836.12,3.83,6853.14,20.84
-6836.08,3.83,6853.26,21.01
-6834.19,3.83,6850.49,20.13
-6837.46,3.83,6850.27,16.63
-6836.05,3.82,6847.22,14.99
-6840.32,3.23,6851.03,13.93
-6839.28,3.64,6848.80,13.16
-6842.03,3.19,6846.68,7.84
-6841.46,3.19,6846.97,8.70
-6840.25,3.71,6851.82,15.29
-6839.06,3.81,6851.82,16.57
-6838.29,3.84,6851.89,17.44
-6836.89,3.83,6852.10,19.04
-6818.63,3.83,6847.93,33.14
-6826.80,3.73,6852.05,28.98
-6834.79,3.33,6848.58,17.12
-6838.16,3.05,6846.66,11.55
-6841.54,3.00,6850.24,11.70
-6841.67,3.08,6846.65,8.06
-6841.97,3.11,6846.68,7.82
-6837.71,3.74,6847.59,13.62
-6841.68,2.58,6846.56,7.46
-6841.89,2.89,6846.71,7.71
-6841.54,3.05,6846.58,8.08
-6841.64,3.14,6846.59,8.10
-6841.14,3.34,6846.59,8.78
-6841.09,3.38,6846.65,8.93
-6839.61,3.74,6849.68,13.81
-6839.21,3.51,6850.35,14.65
-6840.22,3.46,6846.80,10.04
-6840.06,3.56,6846.83,10.33
-6841.05,3.67,6846.73,9.35
-6841.80,3.51,6846.83,8.54
-6835.47,3.81,6846.51,14.86
-6840.71,3.01,6846.68,8.98
-6838.67,3.66,6850.48,15.47
-6838.61,3.71,6850.21,15.32
-6838.93,3.65,6850.82,15.54
-6840.08,3.57,6851.68,15.17
-6840.02,3.73,6851.68,15.38
-6839.27,3.80,6851.74,16.26
-6839.78,3.75,6851.29,15.26
-6839.97,3.78,6851.53,15.34
-6839.16,3.80,6852.75,17.39
-6837.87,3.81,6852.08,18.02
-6838.85,3.82,6850.17,15.15
-6840.73,3.77,6852.23,15.26
-6839.27,3.83,6854.05,18.61
-6836.62,3.84,6853.73,20.95
-6837.03,3.83,6854.10,20.91
-6836.84,3.81,6852.71,19.68
-6838.24,3.85,6853.05,18.66
-6836.42,3.84,6850.22,17.64
-6833.14,3.81,6847.13,17.80
-6839.76,3.58,6850.07,13.90
-6839.85,3.53,6850.94,14.62
-6839.39,3.56,6852.63,16.80
-6836.79,3.81,6850.86,17.87
-6838.56,3.78,6851.32,16.54
-6837.93,3.77,6849.45,15.29
-6840.23,3.50,6846.81,10.08
-6840.46,3.35,6846.79,9.69
-6840.36,3.54,6846.87,10.06
-6839.76,3.52,6852.96,16.72
-6837.89,3.75,6851.76,17.63
-6838.89,3.73,6851.86,16.71
-6836.83,3.81,6851.21,18.19
-6836.59,3.85,6853.11,20.38
-6837.29,3.83,6853.97,20.51
-6836.74,3.83,6853.11,20.21
-6837.35,3.84,6853.86,20.35
-6836.63,3.83,6852.37,19.57
-6836.91,3.85,6852.63,19.57
-6836.91,3.85,6851.99,18.92
-6838.97,3.82,6852.13,16.99
-6831.46,3.85,6847.44,19.82
-6837.71,3.48,6852.20,17.97
-6838.08,3.69,6852.08,17.70
-6836.85,3.83,6849.28,16.26
-6839.55,3.62,6851.47,15.55
-6839.53,3.68,6852.89,17.05
-6830.84,3.83,6847.02,20.01
-6837.19,3.67,6853.19,19.67
-6810.08,3.84,6846.72,40.48
-6819.21,3.73,6847.62,32.14
-6823.86,3.39,6847.86,27.40
-6829.54,2.43,6848.54,21.42
-6836.14,1.78,6846.62,12.26
-6840.26,1.86,6846.61,8.21
-6841.66,2.19,6846.48,7.01
-6841.19,2.82,6846.54,8.18
-6841.88,2.91,6847.03,8.06
-6839.39,3.39,6848.28,12.29
-6841.14,2.84,6847.57,9.27
-6832.67,3.84,6846.76,17.93
-6838.01,3.32,6850.14,15.44
-6837.44,3.64,6849.59,15.79
-6839.36,3.38,6846.76,10.78
-6838.60,3.62,6849.69,14.71
-6839.92,3.51,6846.81,10.40
-6839.96,3.71,6846.94,10.69
-6838.84,3.78,6853.16,18.10
-6837.81,3.88,6852.16,18.23
-6838.62,3.84,6852.50,17.72
-6838.26,3.83,6853.08,18.65
-6837.73,3.84,6853.38,19.49
-6836.91,3.84,6851.55,18.48
-6839.00,3.84,6850.28,15.12
-6840.39,3.80,6850.28,13.70
-6840.48,3.71,6850.00,13.23
-6840.67,3.54,6846.83,9.70
-6840.47,3.59,6853.44,16.56
-6837.60,3.83,6852.51,18.74
-6838.50,3.84,6852.92,18.25
-6838.30,3.83,6853.11,18.64
-6836.24,3.84,6852.14,19.75
-6837.51,3.81,6851.65,17.96
-6839.04,3.84,6850.98,15.78
-6836.93,3.85,6848.76,15.68
-6839.43,3.61,6851.43,15.62
-6838.53,3.77,6851.39,16.63
-6838.06,3.77,6853.87,19.58
-6837.42,3.84,6854.17,20.58
-6836.79,3.77,6854.00,20.98
-6836.83,3.84,6854.13,21.15
-6836.80,3.84,6852.61,19.64
-6838.08,3.83,6853.40,19.16
-6837.61,3.82,6854.18,20.39
-6837.17,3.83,6852.90,19.56
-6837.40,3.84,6851.67,18.11
-6838.91,3.84,6853.57,18.50
-6838.07,3.84,6853.68,19.45
-6836.67,3.82,6853.60,20.75
-6836.41,3.84,6853.63,21.05
-6836.73,3.85,6854.33,21.45
-6836.57,3.83,6854.26,21.51
-6836.32,3.84,6853.95,21.46
-6837.08,3.84,6853.56,20.32
-6837.66,3.81,6847.93,14.08
