Model Name,Batch Size,Total Preprocessing Time (ms),Average Preprocessing Time (ms),Total Inference Time (ms),Average Inference Time (ms),Average Time per Sample (ms),Average Time per Batch (ms)
microsoft/swinv2-tiny-patch4-window8-256,1,292.6490306854248,2.926490306854248,687.5960826873779,6.875960826873779,9.802451133728027,9.802451133728027
microsoft/swinv2-tiny-patch4-window8-256,2,555.4311275482178,2.777155637741089,698.7860202789307,3.4939301013946533,6.271085739135742,12.542171478271484
microsoft/swinv2-tiny-patch4-window8-256,4,1059.0319633483887,2.6475799083709717,878.2405853271484,2.195601463317871,4.843181371688843,19.37272548675537
microsoft/swinv2-tiny-patch4-window8-256,6,1583.6727619171143,2.6394546031951904,1106.3973903656006,1.8439956506093342,4.483450253804524,26.90070152282715
microsoft/swinv2-tiny-patch4-window8-256,8,2090.3995037078857,2.612999379634857,1381.136178970337,1.7264202237129211,4.339419603347778,34.71535682678223
microsoft/swinv2-tiny-patch4-window8-256,12,3117.677688598633,2.598064740498861,1883.357286453247,1.5694644053777058,4.167529145876567,50.0103497505188
microsoft/swinv2-tiny-patch4-window8-256,16,4181.110858917236,2.6131942868232727,2407.30881690979,1.5045680105686188,4.1177622973918915,65.88419675827026
microsoft/swinv2-base-patch4-window8-256,1,317.69251823425293,3.1769251823425293,1332.6005935668945,13.326005935668945,16.502931118011475,16.502931118011475
microsoft/swinv2-base-patch4-window8-256,2,580.36208152771,2.90181040763855,1456.5987586975098,7.282993793487549,10.184804201126099,20.369608402252197
microsoft/swinv2-base-patch4-window8-256,4,1087.1970653533936,2.717992663383484,1900.1998901367188,4.750499725341797,7.468492388725281,29.873969554901123
microsoft/swinv2-base-patch4-window8-256,6,1607.0806980133057,2.6784678300221763,2530.8117866516113,4.2180196444193525,6.896487474441528,41.37892484664917
microsoft/swinv2-base-patch4-window8-256,8,2137.360095977783,2.671700119972229,3242.2168254852295,4.052771031856537,6.724471151828766,53.79576921463013
microsoft/swinv2-base-patch4-window8-256,12,3161.0403060913086,2.6342002550760903,4479.732990264893,3.7331108252207437,6.367311080296834,76.40773296356201
microsoft/swinv2-base-patch4-window8-256,16,4202.024221420288,2.62626513838768,5740.514039993286,3.587821274995804,6.214086413383484,99.42538261413574
